year,month,port,volume,unit
2017,9,paranagua,637866,ton
2017,9,rio-grande,1139037,ton
2017,9,itaqui,343484,ton
2017,9,sao-francisco,190888,ton
2017,9,vitoria,204363,ton
2017,9,itacoatiara,31500,ton
2017,9,santarem,3806,ton
2017,9,vila-do-conde,152342,ton
2017,9,aratu,270116,ton
2017,9,ilheus,0,ton
2017,9,imbituba,60655,ton
2017,9,santana,34000,ton
2017,9,barra-dos-coqueiros,0,ton
2017,10,santos,0,ton
2017,10,paranagua,788511,ton
2017,10,rio-grande,896840,ton
2017,10,itaqui,190711,ton
2017,10,sao-francisco,130365,ton
2017,10,vitoria,268755,ton
2017,10,itacoatiara,28520,ton
2017,10,santarem,0,ton
2017,10,vila-do-conde,0,ton
2017,10,aratu,345475,ton
2017,10,ilheus,0,ton
2017,10,imbituba,72210,ton
2017,10,santana,20510,ton
2017,10,barra-dos-coqueiros,0,ton
2017,11,santos,0,ton
2017,11,paranagua,626492,ton
2017,11,rio-grande,667488,ton
2017,11,itaqui,76439,ton
2017,11,sao-francisco,132029,ton
2017,11,vitoria,204393,ton
2017,11,itacoatiara,38655,ton
2017,11,santarem,0,ton
2017,11,vila-do-conde,66625,ton
2017,11,aratu,200186,ton
2017,11,ilheus,0,ton
2017,11,imbituba,0,ton
2017,11,santana,0,ton
2017,11,barra-dos-coqueiros,0,ton
2017,12,santos,135902,ton
2017,12,paranagua,451261,ton
2017,12,rio-grande,820358,ton
2017,12,itaqui,33971,ton
2017,12,sao-francisco,328945,ton
2017,12,vitoria,269546,ton
2017,12,itacoatiara,55250,ton
2017,12,santarem,0,ton
2017,12,vila-do-conde,69273,ton
2017,12,aratu,68942,ton
2017,12,ilheus,0,ton
2017,12,imbituba,33011,ton
2017,12,santana,0,ton
2017,12,barra-dos-coqueiros,0,ton
2018,1,santos,334451,ton
2018,1,paranagua,361637,ton
2018,1,rio-grande,384711,ton
2018,1,itaqui,67868,ton
2018,1,sao-francisco,67006,ton
2018,1,vitoria,151133,ton
2018,1,itacoatiara,0,ton
2018,1,santarem,0,ton
2018,1,vila-do-conde,28279,ton
2018,1,aratu,0,ton
2018,1,ilheus,0,ton
2018,1,imbituba,31618,ton
2018,1,santana,0,ton
2018,1,barra-dos-coqueiros,0,ton
2018,2,santos,2440430,ton
2018,2,paranagua,988619,ton
2018,2,rio-grande,422918,ton
2018,2,itaqui,33700,ton
2018,2,sao-francisco,318143,ton
2018,2,vitoria,134750,ton
2018,2,itacoatiara,400196,ton
2018,2,santarem,433952,ton
2018,2,vila-do-conde,362342,ton
2018,2,aratu,0,ton
2018,2,ilheus,0,ton
2018,2,imbituba,30327,ton
2018,2,santana,0,ton
2018,2,barra-dos-coqueiros,0,ton
2018,3,santos,4070402,ton
2018,3,paranagua,1652269,ton
2018,3,rio-grande,1075217,ton
2018,3,itaqui,819881,ton
2018,3,sao-francisco,464461,ton
2018,3,vitoria,420862,ton
2018,3,itacoatiara,450090,ton
2018,3,santarem,560574,ton
2018,3,vila-do-conde,870424,ton
2018,3,aratu,275749,ton
2018,3,ilheus,0,ton
2018,3,imbituba,161934,ton
2018,3,santana,0,ton
2018,3,barra-dos-coqueiros,0,ton
2018,4,santos,3788225,ton
2018,4,paranagua,2011199,ton
2018,4,rio-grande,1491529,ton
2018,4,itaqui,1000672,ton
2018,4,sao-francisco,652865,ton
2018,4,vitoria,549391,ton
2018,4,itacoatiara,404809,ton
2018,4,santarem,381514,ton
2018,4,vila-do-conde,889922,ton
2018,4,aratu,398490,ton
2018,4,ilheus,0,ton
2018,4,imbituba,65063,ton
2018,4,santana,0,ton
2018,4,barra-dos-coqueiros,0,ton
2018,5,santos,3275802,ton
2018,5,paranagua,1389935,ton
2018,5,rio-grande,1719078,ton
2018,5,itaqui,1269923,ton
2018,5,sao-francisco,588503,ton
2018,5,vitoria,401727,ton
2018,5,itacoatiara,428448,ton
2018,5,santarem,590429,ton
2018,5,vila-do-conde,918141,ton
2018,5,aratu,203922,ton
2018,5,ilheus,0,ton
2018,5,imbituba,103050,ton
2018,5,santana,0,ton
2018,5,barra-dos-coqueiros,0,ton
2018,6,santos,2589965,ton
2018,6,paranagua,1414880,ton
2018,6,rio-grande,1099540,ton
2018,6,itaqui,1071749,ton
2018,6,sao-francisco,522877,ton
2018,6,vitoria,532074,ton
2018,6,itacoatiara,425507,ton
2018,6,santarem,427376,ton
2018,6,vila-do-conde,1090877,ton
2018,6,aratu,411539,ton
2018,6,ilheus,0,ton
2018,6,imbituba,130154,ton
2018,6,santana,0,ton
2018,6,barra-dos-coqueiros,30000,ton
2018,7,santos,1804211,ton
2018,7,paranagua,1261833,ton
2018,7,rio-grande,1262678,ton
2018,7,itaqui,1282654,ton
2018,7,sao-francisco,510783,ton
2018,7,vitoria,458602,ton
2018,7,itacoatiara,321216,ton
2018,7,santarem,89104,ton
2018,7,vila-do-conde,713401,ton
2018,7,aratu,440293,ton
2018,7,ilheus,59999,ton
2018,7,imbituba,70105,ton
2018,7,santana,0,ton
2018,7,barra-dos-coqueiros,0,ton
2018,8,santos,1100876,ton
2018,8,paranagua,1500184,ton
2018,8,rio-grande,1502396,ton
2018,8,itaqui,881130,ton
2018,8,sao-francisco,544025,ton
2018,8,vitoria,420721,ton
2018,8,itacoatiara,0,ton
2018,8,santarem,0,ton
2018,8,vila-do-conde,430691,ton
2018,8,aratu,354034,ton
2018,8,ilheus,30000,ton
2018,8,imbituba,129612,ton
2018,8,santana,0,ton
2018,8,barra-dos-coqueiros,29064,ton
2018,9,santos,335484,ton
2018,9,paranagua,1467362,ton
2018,9,rio-grande,1626460,ton
2018,9,itaqui,474763,ton
2018,9,sao-francisco,534768,ton
2018,9,vitoria,401352,ton
2018,9,itacoatiara,61434,ton
2018,9,santarem,0,ton
2018,9,vila-do-conde,200353,ton
2018,9,aratu,389048,ton
2018,9,ilheus,0,ton
2018,9,imbituba,74015,ton
2018,9,santana,47500,ton
2018,9,barra-dos-coqueiros,0,ton
2018,10,santos,371118,ton
2018,10,paranagua,1062006,ton
2018,10,rio-grande,1125313,ton
2018,10,itaqui,570836,ton
2018,10,sao-francisco,414604,ton
2018,10,vitoria,201643,ton
2018,10,itacoatiara,26574,ton
2018,10,santarem,0,ton
2018,10,vila-do-conde,66147,ton
2018,10,aratu,412485,ton
2018,10,ilheus,0,ton
2018,10,imbituba,130507,ton
2018,10,santana,24308,ton
2018,10,barra-dos-coqueiros,0,ton
2018,11,santos,491589,ton
2018,11,paranagua,1286388,ton
2018,11,rio-grande,1218857,ton
2018,11,itaqui,531648,ton
2018,11,sao-francisco,592399,ton
2018,11,vitoria,275934,ton
2018,11,itacoatiara,0,ton
2018,11,santarem,0,ton
2018,11,vila-do-conde,64650,ton
2018,11,aratu,402110,ton
2018,11,ilheus,0,ton
2018,11,imbituba,61107,ton
2018,11,santana,0,ton
2018,11,barra-dos-coqueiros,0,ton
2018,12,santos,133890,ton
2018,12,paranagua,893975,ton
2018,12,rio-grande,562534,ton
2018,12,itaqui,341724,ton
2018,12,sao-francisco,334636,ton
2018,12,vitoria,68862,ton
2018,12,itacoatiara,29404,ton
2018,12,santarem,0,ton
2018,12,vila-do-conde,63002,ton
2018,12,aratu,206267,ton
2018,12,ilheus,0,ton
2018,12,imbituba,19874,ton
2018,12,santana,0,ton
2018,12,barra-dos-coqueiros,0,ton
